Player_ID,Summoner_ID,Summoner_Name,Rank,LeaguePoints,Wins,Losses,Win_rate (%)
6rr6JEPNe85noUzNWiqmMs2ZHoz1Gkm0b5EvPGYAT7pha8VM5qQpwab7RhYdZxntK1lYy4rNuI_eaw,UDhUM5xPdnTmo8SuW85JY12xthNEKExdCQ2TqZw0mtStklE,민정김,GrandMaster,381,90,68,56.96202532
EsStl-uXkdJqXPj7TZZA_qFxM5linkEz89R9-PprmsATXT4nAdv418ypFyg7zPk5LLYYyGVTpenhDA,1lDJE7n3R3PD4gIelm7Y7VarlfQrCe4zH1E_N0L6o4owXA,성준2짱,GrandMaster,380,95,71,57.22891566
Wt5sHWnaOagwdJAOu4GS6k1Oex_REHAqV5L1whj58CD7nBlhfGZ71MJI6mtVHyzQhvtx2aQiBJWDwg,4SXTwM9B4I5CGReTalrr3q1zPayGISAJBi-s_hy02zixLVEvF6k8cBS4Gg,눈뜨고코베이는,GrandMaster,379,102,83,55.13513514
1jC3iwwEW1_jVpMZhr-UKtMOJObWmmP52ylat9h83tGY01uD-_ktXq_91yQGbQnUOaRpY7L18P_eUw,Tm4HGaymKU6u4997dCPl7QyfGOsj2aLHD7_jS6ewW87PPQ,러러러버덕,GrandMaster,379,79,73,51.97368421
sQYIxiWZgaqhpkDQnJj7VOlHEsSG0om8KelN9FrrxbBbt8fMqQx_sBRxBGiW-lgC3TA7rapo5CsE-g,iHYgK2jSUwy_EB0p2NlOU9jTxm83hIBOsz9qrkKyUyWZnEnHrwLvwjb3Vw,김김투투덜덜,GrandMaster,378,110,113,49.32735426
taVwDFRrq2m5X_flrmt-0q54C_d1Kq9YUhQJNI2sEdNaNkrvtuZuF-N1qu-aoMRwhafHeeP_Ah_8Zg,yiK9i_Y8Z_3WqJmrLC0Ub9F2mOt7T7NDeb1oSrmXs-oSBNvBdQF3v_qGUg,재미연구가박준호,GrandMaster,377,41,28,59.42028986
m1oi7hS5ZJe6r2tXcRopoOyCQTNNoygbVgNCCHfnf_w_iX0B4wTQHnLJUKzgDkti4MhK2lPsy4F7vw,Eki99cXdwI2eQNr4rhd2dTDh_fZbagto6SeBkF0L83l-lBhDsOQKv1SEXg,06년생 롤체1짱,GrandMaster,376,57,45,55.88235294
RbkHAwliTnbjk4OfFDLkpWEB-kKv-zDR98hvsoymtQEH8_g_WLQuBJQFihwnvvcl88kq3SqLMTYOdA,eP3eC8W49uD2BZpIeiYHxs3w_CjQm8SNCv-qZp5osAOfyw,Be my guest,GrandMaster,375,51,43,54.25531915
0xTWNeNSwa1RDQmDecDYQu8mfDt42VK70H3bdPHXInzEpSRj4TEzmRt4BaSIvs8-hWDA0PsblV2ssA,1CoQdN3WafHVFJt77-8oCiV4QKOk1MCfyhaG3TjwbRaRrg,알트베르타,GrandMaster,373,53,47,53
jACIBDbVcXFXy6Yxpxil-CPvumcYbFpW7c4No8-1McKnXXuyuNPp4eez2BH5jFO56NE-f_4YNCwatA,VPWgritxsjhYTYGBaRDagWk0dJJCUA8LwiPyKctJwXFbcqk,TwTF 알맹승지,GrandMaster,370,55,43,56.12244898
QIBBTR4OMrAP1nHoAOs6oAFh0n23M_uWVsp-q1M4n9S1F7WbLUrzm4iFznNZo2TNufOjrjlsxwHRvA,DenEkQgCfK3luBAJHUbkeBEumSUtvzmn4po7lCnJk_m-O2Q,드로우갓겜,GrandMaster,369,48,44,52.17391304
WCTquP2CnOHsv-aqzhYT-QJ-yLTnDCTozyFAGcnnYpk9yUPMVprQgclz0gA9iuKEG9oH1d-rksx6IQ,SQ4zGWSbv34k3gpBCcQWkYpGpKemMxhiiQB1T-Q0l8LLPmA,산천어홍보대사,GrandMaster,368,41,30,57.74647887
fAl3E0501kfdQtweW6i-Ee1IT6JsMPq-adYPU5uZG3gyx8Da01_kuzCF1HclFx8MuHWpQvWbJMX1_Q,GzaKOAEucFgWiM-owJyynlvncsQB1e-mknBXU2laxXW5DA,Absolute 찬,GrandMaster,366,78,67,53.79310345
vKrQwRPmcoUcfvxghnCWAZe3Dq2JkFg8OHGiXVDzgZGjZz-xTXR23gZxBYEYKBqMCYfJao7yq3rK0Q,xm48Hwtc48IN4tEovjmGy-71vdLzAx61Kzm80a1A9MknPjwF9qQO9M7aHg,KR 한라봉,GrandMaster,366,65,54,54.62184874
X-0FV4JqD2uPsvqM8hV0hchOQzr7YEHTSkD2SoN__GYzfxJ6kW1R_1PMReb79jE4cru-kvHmhi-eSQ,pjIGvVIN2mEDEbCfIWRroEvshYcu9kIYGsS23iS-C_STx_g3DIiGzuBgQw,미쳐버린운빨,GrandMaster,365,49,40,55.05617978
bj2uiQXzSaP28yMeBTpqagkJuG682bXK5q-JzdpmG6SjXy83DDycHfDVCIOuyeHqiwe77EhaqMWdFg,vXqQ2BiG61JFz3G-sKOxb-CFZdLF_pxFpFU3_mvAMXyjwkpL1SUbghE0qw,야베스,GrandMaster,362,57,46,55.33980583
Yw6Egzq7qEtMcGh8rU50nMzcL8ZwOTKF2bILwr0TBvuaVftUMlK1kNjXsz9JUBh7k61FjsOjdU94tg,q8_gxVagBzTz5JYZh2jDM889eVBpnZ4XgDkGD0mewi-ch-_yFE9wi654Wg,twitch 초신성,GrandMaster,362,55,35,61.11111111
QiZfaJ56_9w2FpAui4gPIqxTInaG9y_rUMZn8db2gBZVtvquqYWXySJdGrO5j4j1MXDHgO1TVXAycg,O8ud8OOuurtny-_kKnKSxZUujSHSfKDHZhXFRmHU4PBB53hJLM-Y4fZYMw,우슴벨,GrandMaster,362,67,46,59.2920354
